FID,LGA,VM_PARCEL_,VM_PARCE_1,DATA_SOURC,OS_CATEGOR,OS_CATEG_2,OWNER_TYPE,PARK_NAME,OS_STATUS,OS_ACCESS,HA,WATER_BODY,OS_TYPE,OWNER_NAME,Image_URL,VPA_ID,SHAPE_Leng,SHAPE_Area
34176,MELBOURNE,17J~2\PP2541,"220880955",Manual addition,Recreation corridor,Metropolitan link,Crown,Moonee Ponds Creek Trail,Existing,Open,0.003300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35450,0.000256325319298,0.000000003333385
34177,MELBOURNE,1~71A\PP2796B,"21565790",VM Parcels,Parks and gardens,Not applicable,Crown,University Square,Existing,Open,0.115100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35353,0.001677479148953,0.000000117764869
34178,MELBOURNE,2003\PP2796F,"207429570",VM CL Parcels,Parks and gardens,Not applicable,Crown,Canning Street & Macaulay Road Reserve,Existing,Open,0.063400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35872,0.002183404104093,0.000000064841185
34179,MELBOURNE,2089\PP2541,"220876159",Manual addition,Natural and semi-natural open space,Metropolitan link,Crown,Moonee Ponds Creek & Trail,Existing,Open,3.150100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35451,0.015518577483011,0.000003222180646
34180,MELBOURNE,RES1\PS614264,"215194101",VM Parcels,Parks and gardens,Not applicable,Local government,Quay Park,Existing,Open,0.165200000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35354,0.001906556261933,0.000000169036705
34181,MELBOURNE,2010\PP2796B,"206057019",VM Parcels,Parks and gardens,Not applicable,Crown,Princes Park,Existing,Open,0.713100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35873,0.005369462742119,0.000000729326983
34182,MELBOURNE,2074\PP2541,"220880597",Manual addition,Recreation corridor,Metropolitan link,NO DATA,Moonee Ponds Creek Trail,Existing,Open,0.325100000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35452,0.006892870245914,0.000000332527842
34184,MELBOURNE,2021\PP5514C,"202695715",VM CL Parcels,Parks and gardens,Metropolitan link,Crown,Stapely Parade Reserve,Existing,Open,0.066100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35874,0.004331514835410,0.000000067665185
34185,MELBOURNE,2\TP921142,"216182469",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,0.246600000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35453,0.003334067698943,0.000000252244685
34186,MELBOURNE,8C~57\PP3084B,"93612",VM CL Parcels,Parks and gardens,Not applicable,Crown,Westgate Park,Existing,Open,0.070400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35356,0.001098381249757,0.000000072087612
34187,MELBOURNE,2607\PP2796,"420380171",Manual addition,Parks and gardens,Not applicable,NO DATA,,Existing,Open,0.202000000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35875,0.002372521473665,0.000000206543110
34188,MELBOURNE,2360\PP2796,"206455797",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,"Ross Straw Field Manningham Reserve, Royal Park",Existing,Open,6.209400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35454,0.010849133269528,0.000006350838326
34189,MELBOURNE,8F~57\PP3084B,"50207407",VM CL Parcels,Parks and gardens,Not applicable,Crown,Westgate Park,Existing,Open,0.808600000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35357,0.008317879925321,0.000000827504482
34191,MELBOURNE,2007\PP2796F,"207429712",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,North Melbourne Recreation Centre,Existing,Open,0.110700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35455,0.001380085933551,0.000000113202205
34192,MELBOURNE,2A~99A\PP2796,"203256775",VM CL Parcels,Parks and gardens,Not applicable,Crown,Royal Park,Existing,Open,0.211300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35358,0.005118956177929,0.000000216068679
34194,MELBOURNE,2100\PP5514C,"210220375",VM CL Parcels,Parks and gardens,Not applicable,Crown,Docklands Park,Existing,Open,0.823800000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35456,0.005247688122133,0.000000842978393
34195,MELBOURNE,8~98\PP2796,"210273028",VM CL Parcels,Parks and gardens,Not applicable,Crown,Royal Park,Existing,Open,35.229999999999997,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35359,0.024346121607457,0.000036035809069
34196,MELBOURNE,2100\PP3084D,"210220836",VM CL Parcels,Parks and gardens,Not applicable,Crown,Point Park,Existing,Open,1.014300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35878,0.004859778941109,0.000001037993910
34199,MELBOURNE,2051\PP2541,"220931759",Manual addition,Natural and semi-natural open space,Not applicable,Crown,Moonee Ponds Creek,Existing,Open,2.012500000000000,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35879,0.012197335570499,0.000002058812707
34202,MELBOURNE,17D1~2\PP2541,"52564329",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,0.091100000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35880,0.001891970535999,0.000000093165146
34203,MELBOURNE,2099\PP5514C,"210125483",VM CL Parcels,Parks and gardens,Not applicable,Crown,Docklands Park,Existing,Open,0.278600000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35459,0.002377900451929,0.000000285053595
34204,MELBOURNE,PC374010,"220202586",VM Parcels,Parks and gardens,Not applicable,Local government,Merritts Place Reserve,Existing,Open,0.032200000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35362,0.000763041330037,0.000000032906863
34205,MELBOURNE,1\TP921142,"216182466",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,0.344100000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35881,0.004579812279062,0.000000352006663
34206,MELBOURNE,2002\PP3084,"210220824",VM CL Parcels,Parks and gardens,Not applicable,Crown,River Esplanade,Existing,Open,0.018200000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35460,0.000803559553782,0.000000018628273
34207,MELBOURNE,2023\PP5514B,"219296337",VM Parcels,Parks and gardens,Not applicable,Crown,Howard & William Street Reserve,Existing,Open,0.012400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35363,0.000611400850909,0.000000012701480
