FID,LGA,VM_PARCEL_,VM_PARCE_1,DATA_SOURC,OS_CATEGOR,OS_CATEG_2,OWNER_TYPE,PARK_NAME,OS_STATUS,OS_ACCESS,HA,WATER_BODY,OS_TYPE,OWNER_NAME,Image_URL,VPA_ID,SHAPE_Leng,SHAPE_Area
34256,MELBOURNE,2022\PP5514A,"202695756",VM CL Parcels,Parks and gardens,Not applicable,Crown,Stapely Parade Reserve,Existing,Open,0.002500000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35480,0.000288898060589,0.000000002528317
34262,MELBOURNE,2067\PP2541,"220931691",Manual addition,Recreation corridor,Metropolitan link,Crown,Moonee Ponds Creek Trail,Existing,Open,0.024900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35893,0.001470812168374,0.000000025491449
34264,MELBOURNE,2061\PP2541,"220929623",Manual addition,Recreation corridor,Metropolitan link,Crown,Moonee Ponds Creek Trail,Existing,Open,0.021400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35894,0.001176489708088,0.000000021862608
34268,MELBOURNE,2076\PP2541,"219691130",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,1.404400000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35895,0.009487946165686,0.000001436603347
34270,MELBOURNE,2247\PP5514C,"217250689",VM Parcels,Natural and semi-natural open space,Not applicable,Crown,Victoria Harbour,Existing,Open,29.247599999999998,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35896,0.039406756717838,0.000029926922977
34271,MELBOURNE,,,Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,Eades Park,Existing,Open,0.199900000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35897,0.004249219283456,0.000000204562147
34272,MELBOURNE,2\TP23323,"216118197",VM Parcels,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek Frontage - Melbourne,Existing,Open,0.082400000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35898,0.002532355141352,0.000000084285882
34274,MELBOURNE,10A~A\PP2796J,"2027008",VM CL Parcels,Parks and gardens,Not applicable,Crown,Parkville Ornamental Plantation,Existing,Open,0.116700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35700,0.002047211777419,0.000000119354510
34275,MELBOURNE,RES1\PS642724,"219432215",Melbourne City Council Park Status,Parks and gardens,Neighbourhood link,Local government,Warun Biik Park,Existing,Open,0.224200000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35899,0.003548588076320,0.000000229298872
34277,MELBOURNE,2066\PP2541,"220931697",Manual addition,Recreation corridor,Metropolitan link,Crown,Moonee Ponds Creek Trail,Existing,Open,0.011000000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35701,0.000698227425873,0.000000011281842
34280,MELBOURNE,2027\PP3084,"211909898",VM Parcels,Natural and semi-natural open space,Not applicable,Crown,Yarra River,Existing,Open,1.300800000000000,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35702,0.007734275338787,0.000001331278768
34284,MELBOURNE,2062\PP2541,"220929626",Manual addition,Recreation corridor,Metropolitan link,Crown,Moonee Ponds Creek Trail,Existing,Open,0.019700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35705,0.001091211171722,0.000000020110977
34287,MELBOURNE,2063\PP2541,"220929629",Manual addition,Recreation corridor,Metropolitan link,Crown,Moonee Ponds Creek Trail,Existing,Open,0.016000000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35706,0.000804772386357,0.000000016321590
34289,MELBOURNE,2254\PP2796,"206044883",VM CL Parcels,Parks and gardens,Not applicable,Crown,Auckland Lane Reserve,Existing,Open,0.032300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35707,0.001250216984958,0.000000033055421
34293,MELBOURNE,2255\PP2796,"203642076",VM CL Parcels,Parks and gardens,Not applicable,Crown,Manchester Lane Reserve,Existing,Open,0.038900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35708,0.000932352893190,0.000000039742871
34297,MELBOURNE,2198\PP2541,"212865795",VM CL Parcels,Natural and semi-natural open space,Not applicable,Crown,Moonee Ponds Creek Frontage - Melbourne Docklands,Existing,Open,3.098100000000000,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35709,0.009716100030529,0.000003169845618
34302,MELBOURNE,2008\PP5514A,"202695753",VM CL Parcels,Parks and gardens,Metropolitan link,Crown,Stapely Parade Reserve,Existing,Open,0.016100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35711,0.001238926986546,0.000000016508845
34314,MELBOURNE,1\PS536990,"210118460",Melbourne City Council Park Status,Parks and gardens,Not applicable,Public authority,Railway Viewing Platform,Existing,Open,0.011100000000000,,Public open space,VicTrack,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35392,0.000635388369763,0.000000011307909
34317,MELBOURNE,NO DATA,"204177855",VEAC25 process,Parks and gardens,Not applicable,Crown,Kings Domain South,Existing,Open,1.689300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35715,0.017149904787346,0.000001728966439
34318,MELBOURNE,RES1\PS730822,"421212318",Melbourne City Council Park Status,Parks and gardens,Not applicable,Local government,Hawke & Adderley Street Park,Existing,Open,0.081200000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35393,0.001378982884675,0.000000083100575
34320,MELBOURNE,2~75A\PP2796F,"206413144",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,North Melbourne Recreation Centre,Existing,Open,0.026400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35716,0.000928429886347,0.000000026963408
34321,MELBOURNE,,,Melbourne City Council Park Status,Parks and gardens,Not applicable,Local government,Miller Street Park,Existing,Open,0.027300000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35394,0.000767219480082,0.000000027899859
34323,MELBOURNE,,,Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,Railway Place & Miller Street Reserve,Existing,Open,0.060700000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35395,0.001619309211333,0.000000062072875
34326,MELBOURNE,2058\PP2796F,"216025556",Melbourne City Council Park Status,Parks and gardens,Not applicable,Crown,Leveson Street Reserve,Existing,Open,0.008200000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35396,0.000466238058228,0.000000008353640
34330,MELBOURNE,2069\PP5514D,"215851516",Melbourne City Council Park Status,Parks and gardens,Not applicable,Crown,Linlithgow Avenue Reserve (West),Existing,Open,0.048100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35718,0.001016291650530,0.000000049264943
34331,MELBOURNE,2130\PP2796,"172566736",VM Parcels,Sportsfields and organised recreation,Not applicable,Crown,,Existing,Open,0.241300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35209,0.003362915003689,0.000000246834305
34335,MELBOURNE,2069\PP5514D,"215851516",Melbourne City Council Park Status,Parks and gardens,Not applicable,Crown,Linlithgow Avenue Reserve (East),Existing,Open,0.128400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35719,0.001863280160090,0.000000131359666
34338,MELBOURNE,,,Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,Spencer Street Plaza,Existing,Open,0.088400000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35399,0.001296731874188,0.000000090484354
34345,MELBOURNE,,,Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,Miles & Dodds Street Reserve,Existing,Open,0.023500000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35721,0.001286261814762,0.000000024086725
34349,MELBOURNE,2018\PP3083,"211911531",Manual addition,Parks and gardens,Not applicable,Crown,Stapely Parade Reserve,Existing,Open,0.017300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35722,0.000540882140431,0.000000017662659
34351,MELBOURNE,1~23A\PP5514A,"1372227",VM CL Parcels,Parks and gardens,Not applicable,Crown,Darling Square,Existing,Open,0.819100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35213,0.003665065701694,0.000000838077916
34352,MELBOURNE,,"207404712",VM Parcels,Parks and gardens,Metropolitan link,NO DATA,Birrarung Marr,Existing,Open,0.035600000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35723,0.002266812509648,0.000000036391824
34355,MELBOURNE,1~9A\PP5514A,"203253078",VM CL Parcels,Parks and gardens,Not applicable,Crown,Fitzroy Gardens,Existing,Open,26.284800000000001,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35214,0.020778394695401,0.000026894517685
34356,MELBOURNE,2075\PP2541,"220880594",Manual addition,Recreation corridor,Metropolitan link,NO DATA,Moonee Ponds Creek Trail,Existing,Open,0.097200000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-YzyOGz7u_dk/Ve-IRNCWD9I/AAAAAAAAEgs/N2Sozq3lC0kPeexjFsQN37TNTI9dV_4EgCCo/s288/Shared%2BTrail%2B-%2BBoroondara.JPG,35724,0.002502318081785,0.000000099443452
34358,MELBOURNE,W\PP5514D,"52563621",VM CL Parcels,Parks and gardens,Not applicable,Crown,The Kings Domain Reserve,Existing,Open,2.091100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35215,0.007719910702478,0.000002139974637
34361,MELBOURNE,C\PP5514D,"202947938",VM CL Parcels,Parks and gardens,Not applicable,Crown,Queen Victoria Gardens & Memorial Statue,Existing,Open,0.806400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35216,0.003729278803909,0.000000825184079
34365,MELBOURNE,3B~57\PP3084B,"50207408",VM CL Parcels,Parks and gardens,Not applicable,Crown,Westgate Park,Existing,Open,1.168100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35217,0.004529514808553,0.000001195448417
34367,MELBOURNE,1\TP802576,"1366038",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,0.222700000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35727,0.002033261061127,0.000000227791821
34369,MELBOURNE,1~92A\PP2796F,"1373774",VM CL Parcels,Parks and gardens,Not applicable,Crown,Gardiner Reserve,Existing,Open,0.332900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35218,0.002597994821552,0.000000340511581
34371,MELBOURNE,1\TP23323,"216182463",Manual addition,Natural and semi-natural open space,Not applicable,Public authority,Moonee Ponds Creek,Existing,Open,0.017500000000000,Yes,Public open space,VicTrack,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35728,0.000738408938817,0.000000017885586
34373,MELBOURNE,8E~1A\PP2541,"53018145",VM CL Parcels,Parks and gardens,Not applicable,Crown,Shepherd Bridge Reserve,Existing,Open,0.271700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35219,0.004927217589728,0.000000277975629
34376,MELBOURNE,,"202695699",VM Parcels,Parks and gardens,Not applicable,NO DATA,Stapely Parade Reserve,Existing,Open,0.030000000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35730,0.001183975382949,0.000000030731971
34380,MELBOURNE,2037\PP5514A,"205458895",VM CL Parcels,Parks and gardens,Not applicable,Crown,Yarra Park,Existing,Open,1.959800000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35731,0.011927432016957,0.000002005240154
34381,MELBOURNE,1A~33A\PP2796B,"208973281",VM CL Parcels,Parks and gardens,Not applicable,Crown,Argyle Square,Existing,Open,1.329700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35221,0.004671304841915,0.000001360379443
34386,MELBOURNE,6A~Y\PP3084E,"209069033",VM CL Parcels,Parks and gardens,Metropolitan link,Crown,Alexandra Gardens,Existing,Open,0.480800000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35222,0.007114144011482,0.000000492089474
34389,MELBOURNE,44E~D\PP3084D,"150827768",VM CL Parcels,Parks and gardens,Not applicable,Crown,Grant Street Playground Reserve,Existing,Open,0.002700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35223,0.000218427404751,0.000000002717962
34392,MELBOURNE,21B3~2\PP2541,"211565064",VM CL Parcels,Natural and semi-natural open space,Regional link,Crown,Maribyrnong River Bike Trail,Existing,Open,0.030400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35224,0.001206916615599,0.000000031136903
34394,MELBOURNE,2277\PP5514C,"219562372",Melbourne City Council Park Status,Parks and gardens,Not applicable,Crown,Customs Square,Existing,Open,0.052500000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35735,0.001484788031462,0.000000053718118
34395,MELBOURNE,2003\PP3084B,"202962003",VM CL Parcels,Parks and gardens,Not applicable,Crown,West Gate Park,Existing,Open,0.797100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35225,0.009690835993410,0.000000815697801
34397,MELBOURNE,2287\PP5514C,"218298911",VM Parcels,Parks and gardens,Not applicable,NO DATA,Seafarers Rest,Existing,Open,0.355100000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35736,0.002625739432203,0.000000363415991
34401,MELBOURNE,2005\PP5514A,"150829408",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,Olympic Park,Existing,Open,0.007900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35227,0.000813945457336,0.000000008131740
34404,MELBOURNE,2004\PP2541,"53046824",VM CL Parcels,Natural and semi-natural open space,Not applicable,Crown,Moonee Ponds Creek Frontage - Melbourne Docklands,Existing,Open,1.486500000000000,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35228,0.008980744254011,0.000001520966678
34406,MELBOURNE,2056\PP3084B,"221454548",Melbourne City Council Park Status,Parks and gardens,Not applicable,Crown,Westgate Park,Existing,Open,1.361600000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35739,0.007793303916644,0.000001393514940
34407,MELBOURNE,2036\PP5514C,"207404666",VM CL Parcels,Parks and gardens,Not applicable,Crown,Birrarung Marr,Existing,Open,0.243400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35229,0.003870124993663,0.000000249104545
34410,MELBOURNE,2144\PP2796,"202640792",VM CL Parcels,Parks and gardens,Not applicable,Crown,Royal Park Wetlands,Existing,Open,0.087700000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35230,0.001684748244568,0.000000089739728
34413,MELBOURNE,2059\PP5514C,"202261178",VM CL Parcels,Parks and gardens,Not applicable,Crown,Birrarung Marr,Existing,Open,0.006100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35231,0.000718214239314,0.000000006216377
34416,MELBOURNE,2039\PP5514C,"207404635",VM CL Parcels,Parks and gardens,Not applicable,Crown,Birrarung Marr,Existing,Open,0.080000000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35232,0.002021652864181,0.000000081884706
34418,MELBOURNE,1\TP860582,"2026744",Melbourne City Council Park Status,Parks and gardens,Local link,Local government,Neill Street Reserve,Existing,Open,1.031500000000000,,Public open space,Melbourne City Council,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35743,0.007772843944292,0.000001055220506
34419,MELBOURNE,2036\PP5514A,"205458876",VM CL Parcels,Parks and gardens,Not applicable,Crown,Jolimont Reserve,Existing,Open,0.880100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35233,0.006971035294124,0.000000900524816
34421,MELBOURNE,RES1\PS704428,"218953685",Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,Victoria Green,Existing,Open,0.101800000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35744,0.001909040985240,0.000000104124467
34422,MELBOURNE,2011\PP2796B,"207306903",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,Princes Park,Existing,Open,2.689900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35234,0.006801585084939,0.000002751012167
34424,MELBOURNE,2021\PP3083,"211908382",VM Parcels,Natural and semi-natural open space,Not applicable,Crown,Yarra River,Existing,Open,1.076100000000000,Yes,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35745,0.006730985416110,0.000001101182980
34425,MELBOURNE,2004\PP2796F,"207429603",VM CL Parcels,Parks and gardens,Not applicable,Crown,Pleasance Gardens,Existing,Open,0.368300000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35235,0.003495354084868,0.000000376769412
